PSNO_NA_ECP,PSNO_PA_ECP,PA_NO,PS_REGISTERED_VOTERS,WINNER_ECP,OPP_VOTES_ECP,PTI_VOTES_ECP,TURNOUT_NA_ECP,TURNOUT_NA_PERCENTAGE_ECP,TURNOUT_PA_ECP,TURNOUT_PA_PERCENTAGE_ECP,TURNOUT_DIFFERENCE
200,71,112,1000,Dawa Khan Sabir (PTI),4,168,408,40.8,408,40.8,0
201,72,112,1457,Dawa Khan Sabir (PTI),1,86,272,18.66849691,272,18.66849691,0
202,73,112,1707,Dawa Khan Sabir (PTI),14,328,580,33.97773872,582,34.09490334,2
203,74,112,1339,Dawa Khan Sabir (PTI),9,271,550,41.07542942,550,41.07542942,0
204,75,112,956,Dawa Khan Sabir (PTI),5,202,416,43.51464435,416,43.51464435,0
205,76,112,1070,Dawa Khan Sabir (PTI),12,272,493,46.07476636,502,46.91588785,9
208,79,112,1896,Dawa Khan Sabir (PTI),2,135,321,16.93037975,321,16.93037975,0
209,80,112,1389,Dawa Khan Sabir (PTI),1,113,252,18.1425486,258,18.57451404,6
211,82,112,1773,Dawa Khan Sabir (PTI),15,269,573,32.31810491,573,32.31810491,0
212,83,112,2219,Dawa Khan Sabir (PTI),15,190,420,18.92744479,347,15.63767463,73
213,84,112,1809,Dawa Khan Sabir (PTI),23,289,692,38.25317855,692,38.25317855,0
215,86,112,2246,Dawa Khan Sabir (PTI),29,304,778,34.63935886,780,34.72840606,2
216,87,112,1446,Dawa Khan Sabir (PTI),5,127,334,23.09820194,333,23.02904564,1
217,88,112,1472,Dawa Khan Sabir (PTI),6,138,248,16.84782609,247,16.7798913,1
218,89,112,1219,Dawa Khan Sabir (PTI),13,239,415,34.04429861,415,34.04429861,0
219,90,112,1029,Dawa Khan Sabir (PTI),8,184,369,35.86005831,369,35.86005831,0
220,91,112,1115,Dawa Khan Sabir (PTI),27,209,430,38.56502242,432,38.74439462,2
222,93,112,1424,Dawa Khan Sabir (PTI),19,161,318,22.33146067,317,22.26123596,1
223,94,112,1658,Dawa Khan Sabir (PTI),80,84,368,22.19541616,369,22.25572979,1
224,95,112,1192,Dawa Khan Sabir (PTI),25,42,188,15.77181208,190,15.93959732,2
225,96,112,2069,Dawa Khan Sabir (PTI),106,189,668,32.28612856,668,32.28612856,0
227,98,112,1702,Dawa Khan Sabir (PTI),69,132,513,30.14101058,513,30.14101058,0
228,99,112,1903,Dawa Khan Sabir (PTI),122,197,704,36.99421965,700,36.78402522,4
229,100,112,1388,Dawa Khan Sabir (PTI),88,100,465,33.50144092,465,33.50144092,0
231,102,112,1669,Dawa Khan Sabir (PTI),58,67,361,21.62971839,361,21.62971839,0
234,35,114,1069,Dawa Khan Sabir (PTI),20,133,219,20.48643592,219,20.48643592,0
235,36,114,1052,Dawa Khan Sabir (PTI),32,134,238,22.62357414,298,28.3269962,60
236,37,114,1234,Dawa Khan Sabir (PTI),11,300,519,42.05834684,518,41.97730956,1
237,38,114,1283,Dawa Khan Sabir (PTI),30,350,607,47.31098987,607,47.31098987,0
239,40,114,1707,Dawa Khan Sabir (PTI),22,395,589,34.5049795,577,33.8019918,12
241,42,114,1259,Dawa Khan Sabir (PTI),2,108,143,11.35822081,158,12.54964257,15
242,43,114,1188,Dawa Khan Sabir (PTI),0,153,218,18.35016835,216,18.18181818,2
243,44,114,2267,Dawa Khan Sabir (PTI),43,667,977,43.09660344,967,42.65549184,10
244,45,114,1484,Dawa Khan Sabir (PTI),6,215,316,21.29380054,311,20.95687332,5
245,46,114,2016,Dawa Khan Sabir (PTI),42,579,910,45.13888889,893,44.29563492,17
246,47,114,1342,Dawa Khan Sabir (PTI),7,196,317,23.62146051,317,23.62146051,0
248,49,114,1629,Dawa Khan Sabir (PTI),58,514,840,51.56537753,837,51.38121547,3
249,50,114,1968,Dawa Khan Sabir (PTI),13,318,448,22.76422764,448,22.76422764,0
251,52,114,1510,Dawa Khan Sabir (PTI),12,470,625,41.39072848,623,41.25827815,2
253,54,114,2051,Dawa Khan Sabir (PTI),22,357,612,29.83910288,612,29.83910288,0
254,55,114,1503,Dawa Khan Sabir (PTI),8,167,272,18.09713906,272,18.09713906,0
255,56,114,1768,Dawa Khan Sabir (PTI),30,475,743,42.02488688,743,42.02488688,0
256,57,114,1313,Dawa Khan Sabir (PTI),10,273,432,32.90175171,432,32.90175171,0
257,58,114,1824,Dawa Khan Sabir (PTI),34,369,742,40.67982456,742,40.67982456,0
258,59,114,1328,Dawa Khan Sabir (PTI),8,202,366,27.56024096,347,26.12951807,19
259,60,114,1394,Dawa Khan Sabir (PTI),31,262,554,39.74175036,550,39.45480631,4
260,61,114,1557,Dawa Khan Sabir (PTI),33,291,646,41.49004496,638,40.97623635,8
